Dataset,Fold,Model,Versao,MSE,MAE
a7,3,SVR,RO,34.54571894725161,3.42469290001601
a7,3,SVR,Hardness-RO,39.59947680839106,2.638373415921717
a7,3,NNET,Original,456139.717095751,201.04175994406296
a7,3,NNET,RO,669825.0751825466,293.7031075909548
a7,3,NNET,Hardness-RO,878785.0363475982,263.90837789538114
a7,3,XGB,Original,10.675776862785487,2.3226605066657067
a7,3,XGB,RO,28.782406089481846,3.2541506450250752
a7,3,XGB,Hardness-RO,12.571806731017826,2.15219665279612
a7,3,RF,Original,20.328781674999988,2.550375
a7,3,RF,RO,19.515383164319548,3.0099668560768875
a7,3,RF,Hardness-RO,25.43809046710415,2.9032083202565473
a7,3,BAGGING,Original,24.797114999999998,2.5375
a7,3,BAGGING,RO,18.686352785644555,2.8850846543273883
a7,3,BAGGING,Hardness-RO,40.32823556319052,3.552737778169198
a7,4,SVR,Original,49.503122514816944,3.060683679236694
a7,4,SVR,RO,45.154790542978894,4.041292399108767
a7,4,SVR,Hardness-RO,44.24875506968086,3.2000656607167524
a7,4,NNET,Original,398593.02793106355,220.4307249811178
a7,4,NNET,RO,405343.36964040104,238.88020969556464
a7,4,NNET,Hardness-RO,1060221.703058945,379.7982806390448
a7,4,XGB,Original,44.56270399750666,3.5726634539854834
a7,4,XGB,RO,63.74705440488959,4.358690613899858
a7,4,XGB,Hardness-RO,50.05680737419779,3.635233201313382
a7,4,RF,Original,44.450327794871804,3.692
a7,4,RF,RO,51.46127055131942,4.573981758050183
a7,4,RF,Hardness-RO,44.47202478755222,3.4235024652710067
a7,4,BAGGING,Original,49.6675,4.172564102564103
a7,4,BAGGING,RO,60.79728681094377,4.821092093801937
a7,4,BAGGING,Hardness-RO,46.47146154880996,3.4980080717138184
a7,5,SVR,Original,11.249800439155017,1.6223259038943532
a7,5,SVR,RO,15.435456515825914,3.125419385712142
a7,5,SVR,Hardness-RO,11.95625658312525,1.9501496306939714
a7,5,NNET,Original,99452.98772736127,148.4932300991592
a7,5,NNET,RO,201989.6263834671,248.02750654241586
a7,5,NNET,Hardness-RO,92432.90283658505,133.94659509083465
a7,5,XGB,Original,48.85389606834686,3.41436707373613
a7,5,XGB,RO,51.20064235333518,4.722496028091664
a7,5,XGB,Hardness-RO,25.76150695138133,2.8613649876836016
a7,5,RF,Original,26.71096994871795,3.1776923076923076
