Dataset,Fold,Model,Versao,MSE,MAE
a3,5,BAGGING,RO,96.66003561754952,6.2931920789096525
a3,5,BAGGING,Hardness-RO,38.5200764737523,4.062941121003667
a7,1,SVR,Original,43.099035904799095,2.9126950893845596
a7,1,SVR,RO,38.722531032585245,4.714375200350274
a7,1,SVR,Hardness-RO,40.35354031747077,3.238422817701474
a7,1,NNET,Original,3511102.8602076396,626.8560206976329
a7,1,NNET,RO,1482302.4635638762,528.1534997793871
a7,1,NNET,Hardness-RO,5313662.633412723,775.2841935875651
a7,1,XGB,Original,18.525240074364316,2.536148955971002
a7,1,XGB,RO,42.85042206723848,4.078519722782076
a7,1,XGB,Hardness-RO,24.286589523725112,2.992705543935299
a7,1,RF,Original,27.803802774999998,3.105625
a7,1,RF,RO,32.21128868492243,4.095428903330286
a7,1,RF,Hardness-RO,31.21614258158881,3.3265400431190875
a7,1,BAGGING,Original,29.816605,3.1705
a7,1,BAGGING,RO,32.04415245202552,3.998059333179981
a7,1,BAGGING,Hardness-RO,35.29249590728835,3.3589164704796035
a7,2,SVR,Original,11.27165480351918,2.121128699444288
a7,2,SVR,RO,9.133244570738523,2.381323577310304
a7,2,SVR,Hardness-RO,8.862485791653459,2.0360344137852695
a7,2,NNET,Original,160251.30439636303,162.1706378708094
a7,2,NNET,RO,152712.7972454889,150.38076765790873
a7,2,NNET,Hardness-RO,153968.70233311495,186.75976350506787
a7,2,XGB,Original,31.650297792379867,3.3945890206284823
a7,2,XGB,RO,26.764276141037545,3.4190289018116893
a7,2,XGB,Hardness-RO,36.34188233484568,3.100667680203915
a7,2,RF,Original,24.207194225000002,3.4074750000000003
a7,2,RF,RO,28.67135969082114,4.013748349624176
a7,2,RF,Hardness-RO,20.459562968337288,2.675893041657143
a7,2,BAGGING,Original,25.1576325,3.4692499999999997
a7,2,BAGGING,RO,28.912703060076893,4.285376362693691
a7,2,BAGGING,Hardness-RO,27.931682458495054,3.023622100690477
a7,3,SVR,Original,37.471652247532745,2.415519693687839
a7,3,SVR,RO,36.73628378385159,3.7477411952852764
a7,3,SVR,Hardness-RO,38.03113683151645,2.6433113221084135
a7,3,NNET,Original,456139.717095751,201.04175994406296
a7,3,NNET,RO,624318.8873590567,309.4392077741126
a7,3,NNET,Hardness-RO,640623.2205658664,291.1477221175727
a7,3,XGB,Original,10.675776862785487,2.3226605066657067
a7,3,XGB,RO,33.92339525495002,3.4436292091570793
a7,3,XGB,Hardness-RO,32.36192468870597,2.6865889604482804
a7,3,RF,Original,20.328781674999988,2.550375
a7,3,RF,RO,21.131919998296876,3.5747210803263343
a7,3,RF,Hardness-RO,33.64381712119653,2.607323912670959
a7,3,BAGGING,Original,24.797114999999998,2.5375
a7,3,BAGGING,RO,24.802867469841836,3.6893455508662987
a7,3,BAGGING,Hardness-RO,34.9744611279612,2.5926029658490193
a7,4,SVR,Original,49.503122514816944,3.060683679236694
a7,4,SVR,RO,47.14313201948357,4.111400249269078
a7,4,SVR,Hardness-RO,43.55339331564363,3.164197999204062
a7,4,NNET,Original,398593.02793106355,220.4307249811178
a7,4,NNET,RO,828549.7917495439,378.74186467549083
a7,4,NNET,Hardness-RO,366211.5858057476,204.5506591890309
a7,4,XGB,Original,44.56270399750666,3.5726634539854834
a7,4,XGB,RO,70.87509082147731,5.31903850206962
a7,4,XGB,Hardness-RO,42.898467285164806,3.2589840941322157
a7,4,RF,Original,44.450327794871804,3.692
a7,4,RF,RO,50.32342819308218,4.807941056349239
a7,4,RF,Hardness-RO,43.58801375296341,3.330881160339152
a7,4,BAGGING,Original,49.6675,4.172564102564103
a7,4,BAGGING,RO,55.4484365699762,5.0420003983700274
a7,4,BAGGING,Hardness-RO,45.028770344866466,3.5601412548781153
a7,5,SVR,Original,11.249800439155017,1.6223259038943532
a7,5,SVR,RO,14.898358471866423,3.0665813896581695
a7,5,SVR,Hardness-RO,12.359352901113631,2.017047694865791
a7,5,NNET,Original,99452.98772736127,148.4932300991592
a7,5,NNET,RO,153541.27752611376,156.7410179184203
a7,5,NNET,Hardness-RO,141935.80898734316,183.49683455486615
a7,5,XGB,Original,48.85389606834686,3.41436707373613
a7,5,XGB,RO,31.226204895944164,3.4066706151534354
a7,5,XGB,Hardness-RO,17.824679234140422,2.8962960576017696
a7,5,RF,Original,26.71096994871795,3.1776923076923076
a7,5,RF,RO,29.48043435314127,3.82619587885955
a7,5,RF,Hardness-RO,15.472241920778524,2.6252969774681993
a7,5,BAGGING,Original,35.95215384615384,3.7
a7,5,BAGGING,RO,31.108073829689737,3.8745528456491196
a7,5,BAGGING,Hardness-RO,16.575036697717287,2.8995649215937873
abalone,1,SVR,Original,8.056572978804509,1.8862044968898086
abalone,1,SVR,RO,11.709725276896142,2.7214686290717705
abalone,1,SVR,Hardness-RO,8.487856351829613,1.9712371056480507
abalone,1,NNET,Original,9.103509396310313,2.2844850971646835
abalone,1,NNET,RO,11.796618527670082,2.6576309936789535
abalone,1,NNET,Hardness-RO,11.688134936030917,2.452001285660241
abalone,1,XGB,Original,6.262310028076172,1.8009830713272095
abalone,1,XGB,RO,7.456928253173828,2.0792648792266846
